 aryl_halide_.C3_NMR_shift , aryl_halide_V3_intensity , ligand_.C15_NMR_shift , ligand_.C16_electrostatic_charge , ligand_V10_intensity , yield 
-0.388744,1.671355,-0.005036,-1.591601,1.756769,23.69
-0.390691,0.948264,-0.005036,-1.591601,1.756769,42.69
0.731575,2.270557,-0.005036,-1.591601,1.756769,54.83
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,6.35
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,14.16
2.394801,-0.270597,-0.005036,-1.591601,1.756769,17.38
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,3.61
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,35.08
0.067187,-0.736723,-0.005036,-1.591601,1.756769,43.32
-0.54314,1.166942,-0.005036,-1.591601,1.756769,29.3
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,37.57
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,0.96
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,59.02
2.202713,-0.898734,-0.005036,-1.591601,1.756769,70.97
-0.388744,1.671355,-0.005036,-1.591601,1.756769,35.14
-0.390691,0.948264,-0.005036,-1.591601,1.756769,37.65
0.731575,2.270557,-0.005036,-1.591601,1.756769,51.1
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,3.96
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,31.93
2.394801,-0.270597,-0.005036,-1.591601,1.756769,48.71
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,5.01
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,35.09
0.067187,-0.736723,-0.005036,-1.591601,1.756769,41.25
-0.54314,1.166942,-0.005036,-1.591601,1.756769,13.98
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,18.9
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,0.71
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,32.63
2.202713,-0.898734,-0.005036,-1.591601,1.756769,31.82
-0.388744,1.671355,-0.005036,-1.591601,1.756769,30.43
-0.390691,0.948264,-0.005036,-1.591601,1.756769,53.64
0.731575,2.270557,-0.005036,-1.591601,1.756769,59.48
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,2.01
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,26.51
2.394801,-0.270597,-0.005036,-1.591601,1.756769,36.85
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,4.82
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,34.81
0.067187,-0.736723,-0.005036,-1.591601,1.756769,46.63
-0.54314,1.166942,-0.005036,-1.591601,1.756769,11.74
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,26.65
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,0.55
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,35.87
2.202713,-0.898734,-0.005036,-1.591601,1.756769,68.84
-0.388744,1.671355,-0.005036,-1.591601,1.756769,33.88
-0.390691,0.948264,-0.005036,-1.591601,1.756769,63.07
0.731575,2.270557,-0.005036,-1.591601,1.756769,70.63
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,2.48
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,31.68
2.394801,-0.270597,-0.005036,-1.591601,1.756769,46.01
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,22.17
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,23.21
0.067187,-0.736723,-0.005036,-1.591601,1.756769,34.75
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,0.95
-0.54314,1.166942,-0.005036,-1.591601,1.756769,16.65
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,20
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,4.99
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,54
2.202713,-0.898734,-0.005036,-1.591601,1.756769,57.38
-0.388744,1.671355,-0.005036,-1.591601,1.756769,22.61
-0.390691,0.948264,-0.005036,-1.591601,1.756769,28.75
0.731575,2.270557,-0.005036,-1.591601,1.756769,26.99
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,20.86
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,20.73
2.394801,-0.270597,-0.005036,-1.591601,1.756769,30.87
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,20.36
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,38.92
0.067187,-0.736723,-0.005036,-1.591601,1.756769,41.7
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,0.94
-0.54314,1.166942,-0.005036,-1.591601,1.756769,14.9
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,19.6
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,4.18
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,39.01
2.202713,-0.898734,-0.005036,-1.591601,1.756769,37.17
-0.388744,1.671355,-0.005036,-1.591601,1.756769,31.62
-0.390691,0.948264,-0.005036,-1.591601,1.756769,51.22
0.731575,2.270557,-0.005036,-1.591601,1.756769,57.55
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,16.17
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,26.59
2.394801,-0.270597,-0.005036,-1.591601,1.756769,40.41
-0.467225,-0.6235,-0.005036,-1.591601,1.756769,16.97
-0.467402,-0.691324,-0.005036,-1.591601,1.756769,34.38
0.067187,-0.736723,-0.005036,-1.591601,1.756769,43.58
-0.545883,-0.327372,-0.005036,-1.591601,1.756769,0.83
-0.54314,1.166942,-0.005036,-1.591601,1.756769,13.34
-1.057556,-0.200914,-0.005036,-1.591601,1.756769,26.96
-0.452184,-0.87062,-0.005036,-1.591601,1.756769,4.21
-0.45006,-0.8896,-0.005036,-1.591601,1.756769,39.8
2.202713,-0.898734,-0.005036,-1.591601,1.756769,66.76
-0.388744,1.671355,-0.005036,-1.591601,1.756769,38.14
-0.390691,0.948264,-0.005036,-1.591601,1.756769,56.52
0.731575,2.270557,-0.005036,-1.591601,1.756769,67.97
-0.501466,-0.435562,-0.005036,-1.591601,1.756769,13.29
-0.496954,-0.34854,-0.005036,-1.591601,1.756769,32.52
2.394801,-0.270597,-0.005036,-1.591601,1.756769,47.33
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,15.42
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,18.97
0.067187,-0.736723,-1.596058,0.283227,-0.544071,16.82
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,2.66
-0.54314,1.166942,-1.596058,0.283227,-0.544071,16.05
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,21.98
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,7.64
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,28.39
2.202713,-0.898734,-1.596058,0.283227,-0.544071,26.67
-0.388744,1.671355,-1.596058,0.283227,-0.544071,29.98
-0.390691,0.948264,-1.596058,0.283227,-0.544071,36.31
0.731575,2.270557,-1.596058,0.283227,-0.544071,36.59
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,10.54
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,26.26
2.394801,-0.270597,-1.596058,0.283227,-0.544071,28.59
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,16.88
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,41.3
0.067187,-0.736723,-1.596058,0.283227,-0.544071,43.73
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,0.66
-0.54314,1.166942,-1.596058,0.283227,-0.544071,33.63
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,41.49
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,2.6
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,66.02
2.202713,-0.898734,-1.596058,0.283227,-0.544071,72.39
-0.388744,1.671355,-1.596058,0.283227,-0.544071,68.85
-0.390691,0.948264,-1.596058,0.283227,-0.544071,82.18
0.731575,2.270557,-1.596058,0.283227,-0.544071,80.59
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,15.19
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,83.87
2.394801,-0.270597,-1.596058,0.283227,-0.544071,86
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,30.01
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,51.4
0.067187,-0.736723,-1.596058,0.283227,-0.544071,50.14
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,2.94
-0.54314,1.166942,-1.596058,0.283227,-0.544071,34.96
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,51.01
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,15.32
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,81.57
2.202713,-0.898734,-1.596058,0.283227,-0.544071,77.57
-0.388744,1.671355,-1.596058,0.283227,-0.544071,86.69
-0.390691,0.948264,-1.596058,0.283227,-0.544071,92.91
0.731575,2.270557,-1.596058,0.283227,-0.544071,97.57
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,35.56
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,98.73
2.394801,-0.270597,-1.596058,0.283227,-0.544071,98.29
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,5.98
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,50.58
0.067187,-0.736723,-1.596058,0.283227,-0.544071,45.08
-0.54314,1.166942,-1.596058,0.283227,-0.544071,42.12
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,49.11
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,0.71
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,70.86
2.202713,-0.898734,-1.596058,0.283227,-0.544071,66.45
-0.388744,1.671355,-1.596058,0.283227,-0.544071,65.94
-0.390691,0.948264,-1.596058,0.283227,-0.544071,66.07
0.731575,2.270557,-1.596058,0.283227,-0.544071,66.21
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,6.11
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,67.82
2.394801,-0.270597,-1.596058,0.283227,-0.544071,72.63
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,7.84
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,46.75
0.067187,-0.736723,-1.596058,0.283227,-0.544071,46.26
-0.54314,1.166942,-1.596058,0.283227,-0.544071,37.03
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,43.7
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,0.6
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,70.55
2.202713,-0.898734,-1.596058,0.283227,-0.544071,80.9
-0.388744,1.671355,-1.596058,0.283227,-0.544071,70.21
-0.390691,0.948264,-1.596058,0.283227,-0.544071,83.09
0.731575,2.270557,-1.596058,0.283227,-0.544071,85.14
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,3.15
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,78.08
2.394801,-0.270597,-1.596058,0.283227,-0.544071,82.14
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,7.78
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,53.6
0.067187,-0.736723,-1.596058,0.283227,-0.544071,51.76
-0.54314,1.166942,-1.596058,0.283227,-0.544071,49.61
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,53.68
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,0.65
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,86.6
2.202713,-0.898734,-1.596058,0.283227,-0.544071,84.9
-0.388744,1.671355,-1.596058,0.283227,-0.544071,91.39
-0.390691,0.948264,-1.596058,0.283227,-0.544071,97.29
0.731575,2.270557,-1.596058,0.283227,-0.544071,99.62
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,4.17
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,92.57
2.394801,-0.270597,-1.596058,0.283227,-0.544071,94.69
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,45.05
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,45.78
0.067187,-0.736723,-1.596058,0.283227,-0.544071,44.65
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,0.92
-0.54314,1.166942,-1.596058,0.283227,-0.544071,44.56
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,43.36
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,3.42
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,72.85
2.202713,-0.898734,-1.596058,0.283227,-0.544071,65.31
-0.388744,1.671355,-1.596058,0.283227,-0.544071,56.83
-0.390691,0.948264,-1.596058,0.283227,-0.544071,76.34
0.731575,2.270557,-1.596058,0.283227,-0.544071,73.22
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,36.48
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,68.56
2.394801,-0.270597,-1.596058,0.283227,-0.544071,69.09
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,31.88
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,44.82
0.067187,-0.736723,-1.596058,0.283227,-0.544071,46.65
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,0.67
-0.54314,1.166942,-1.596058,0.283227,-0.544071,39.53
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,43.87
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,2.75
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,72.64
2.202713,-0.898734,-1.596058,0.283227,-0.544071,82.33
-0.388744,1.671355,-1.596058,0.283227,-0.544071,73.64
-0.390691,0.948264,-1.596058,0.283227,-0.544071,87.9
0.731575,2.270557,-1.596058,0.283227,-0.544071,86.22
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,34.21
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,77.33
2.394801,-0.270597,-1.596058,0.283227,-0.544071,80.6
-0.467225,-0.6235,-1.596058,0.283227,-0.544071,42.28
-0.467402,-0.691324,-1.596058,0.283227,-0.544071,50.29
0.067187,-0.736723,-1.596058,0.283227,-0.544071,49.58
-0.545883,-0.327372,-1.596058,0.283227,-0.544071,1.19
-0.54314,1.166942,-1.596058,0.283227,-0.544071,48.46
-1.057556,-0.200914,-1.596058,0.283227,-0.544071,49.93
-0.452184,-0.87062,-1.596058,0.283227,-0.544071,4.58
-0.45006,-0.8896,-1.596058,0.283227,-0.544071,78.8
2.202713,-0.898734,-1.596058,0.283227,-0.544071,79.44
-0.388744,1.671355,-1.596058,0.283227,-0.544071,84.86
-0.390691,0.948264,-1.596058,0.283227,-0.544071,93.31
0.731575,2.270557,-1.596058,0.283227,-0.544071,93.87
-0.501466,-0.435562,-1.596058,0.283227,-0.544071,44.03
-0.496954,-0.34854,-1.596058,0.283227,-0.544071,89.48
2.394801,-0.270597,-1.596058,0.283227,-0.544071,91.49
-0.467225,-0.6235,0.759878,1.19396,-0.580097,7.37
-0.467402,-0.691324,0.759878,1.19396,-0.580097,9.71
0.067187,-0.736723,0.759878,1.19396,-0.580097,9.55
-0.545883,-0.327372,0.759878,1.19396,-0.580097,1.02
-0.54314,1.166942,0.759878,1.19396,-0.580097,12.59
-1.057556,-0.200914,0.759878,1.19396,-0.580097,14.01
-0.452184,-0.87062,0.759878,1.19396,-0.580097,4.34
-0.45006,-0.8896,0.759878,1.19396,-0.580097,19.47
2.202713,-0.898734,0.759878,1.19396,-0.580097,23.3
-0.388744,1.671355,0.759878,1.19396,-0.580097,24.9
-0.390691,0.948264,0.759878,1.19396,-0.580097,28.48
0.731575,2.270557,0.759878,1.19396,-0.580097,33.33
-0.501466,-0.435562,0.759878,1.19396,-0.580097,6.75
-0.496954,-0.34854,0.759878,1.19396,-0.580097,15.06
2.394801,-0.270597,0.759878,1.19396,-0.580097,15.13
-0.467225,-0.6235,0.759878,1.19396,-0.580097,3.89
-0.467402,-0.691324,0.759878,1.19396,-0.580097,25.83
0.067187,-0.736723,0.759878,1.19396,-0.580097,44.59
-0.54314,1.166942,0.759878,1.19396,-0.580097,15.17
-1.057556,-0.200914,0.759878,1.19396,-0.580097,40.37
-0.45006,-0.8896,0.759878,1.19396,-0.580097,27.8
2.202713,-0.898734,0.759878,1.19396,-0.580097,72.31
-0.388744,1.671355,0.759878,1.19396,-0.580097,32
-0.390691,0.948264,0.759878,1.19396,-0.580097,51.81
0.731575,2.270557,0.759878,1.19396,-0.580097,83.36
-0.501466,-0.435562,0.759878,1.19396,-0.580097,2.64
-0.496954,-0.34854,0.759878,1.19396,-0.580097,57.98
2.394801,-0.270597,0.759878,1.19396,-0.580097,80.29
-0.467225,-0.6235,0.759878,1.19396,-0.580097,9.56
-0.467402,-0.691324,0.759878,1.19396,-0.580097,37.21
0.067187,-0.736723,0.759878,1.19396,-0.580097,47.1
-0.545883,-0.327372,0.759878,1.19396,-0.580097,1.1
-0.54314,1.166942,0.759878,1.19396,-0.580097,35.7
-1.057556,-0.200914,0.759878,1.19396,-0.580097,54.89
-0.45006,-0.8896,0.759878,1.19396,-0.580097,57.45
2.202713,-0.898734,0.759878,1.19396,-0.580097,77.03
-0.388744,1.671355,0.759878,1.19396,-0.580097,69.4
-0.390691,0.948264,0.759878,1.19396,-0.580097,85.44
0.731575,2.270557,0.759878,1.19396,-0.580097,92
-0.501466,-0.435562,0.759878,1.19396,-0.580097,21.86
-0.496954,-0.34854,0.759878,1.19396,-0.580097,83.65
2.394801,-0.270597,0.759878,1.19396,-0.580097,92.96
-0.467225,-0.6235,0.759878,1.19396,-0.580097,1.3
-0.467402,-0.691324,0.759878,1.19396,-0.580097,28.35
0.067187,-0.736723,0.759878,1.19396,-0.580097,40.18
-0.54314,1.166942,0.759878,1.19396,-0.580097,40.45
-1.057556,-0.200914,0.759878,1.19396,-0.580097,42.27
-0.452184,-0.87062,0.759878,1.19396,-0.580097,0.91
-0.45006,-0.8896,0.759878,1.19396,-0.580097,62.16
2.202713,-0.898734,0.759878,1.19396,-0.580097,66.89
-0.388744,1.671355,0.759878,1.19396,-0.580097,76.83
-0.390691,0.948264,0.759878,1.19396,-0.580097,91.65
0.731575,2.270557,0.759878,1.19396,-0.580097,66.37
-0.501466,-0.435562,0.759878,1.19396,-0.580097,2.53
-0.496954,-0.34854,0.759878,1.19396,-0.580097,47.17
2.394801,-0.270597,0.759878,1.19396,-0.580097,52.44
-0.467225,-0.6235,0.759878,1.19396,-0.580097,3.54
-0.467402,-0.691324,0.759878,1.19396,-0.580097,39.2
0.067187,-0.736723,0.759878,1.19396,-0.580097,45.88
-0.54314,1.166942,0.759878,1.19396,-0.580097,24.03
-1.057556,-0.200914,0.759878,1.19396,-0.580097,39.39
-0.45006,-0.8896,0.759878,1.19396,-0.580097,50.05
2.202713,-0.898734,0.759878,1.19396,-0.580097,74.62
-0.388744,1.671355,0.759878,1.19396,-0.580097,54.58
-0.390691,0.948264,0.759878,1.19396,-0.580097,74.82
0.731575,2.270557,0.759878,1.19396,-0.580097,84.2
-0.501466,-0.435562,0.759878,1.19396,-0.580097,2.23
-0.496954,-0.34854,0.759878,1.19396,-0.580097,71.61
2.394801,-0.270597,0.759878,1.19396,-0.580097,72.77
-0.467225,-0.6235,0.759878,1.19396,-0.580097,4.28
-0.467402,-0.691324,0.759878,1.19396,-0.580097,40.44
0.067187,-0.736723,0.759878,1.19396,-0.580097,46.66
-0.54314,1.166942,0.759878,1.19396,-0.580097,46.65
-1.057556,-0.200914,0.759878,1.19396,-0.580097,45.97
-0.45006,-0.8896,0.759878,1.19396,-0.580097,72.38
2.202713,-0.898734,0.759878,1.19396,-0.580097,82.71
-0.388744,1.671355,0.759878,1.19396,-0.580097,77.87
-0.390691,0.948264,0.759878,1.19396,-0.580097,96.59
0.731575,2.270557,0.759878,1.19396,-0.580097,97.95
-0.501466,-0.435562,0.759878,1.19396,-0.580097,3.5
-0.496954,-0.34854,0.759878,1.19396,-0.580097,89.32
2.394801,-0.270597,0.759878,1.19396,-0.580097,89.22
-0.467225,-0.6235,0.759878,1.19396,-0.580097,9.91
-0.467402,-0.691324,0.759878,1.19396,-0.580097,33.1
0.067187,-0.736723,0.759878,1.19396,-0.580097,39.92
-0.545883,-0.327372,0.759878,1.19396,-0.580097,0.3
-0.54314,1.166942,0.759878,1.19396,-0.580097,43.42
-1.057556,-0.200914,0.759878,1.19396,-0.580097,45.28
-0.452184,-0.87062,0.759878,1.19396,-0.580097,0.86
-0.45006,-0.8896,0.759878,1.19396,-0.580097,68.85
2.202713,-0.898734,0.759878,1.19396,-0.580097,64.61
-0.388744,1.671355,0.759878,1.19396,-0.580097,63.85
-0.390691,0.948264,0.759878,1.19396,-0.580097,76.34
0.731575,2.270557,0.759878,1.19396,-0.580097,73.14
-0.501466,-0.435562,0.759878,1.19396,-0.580097,4.5
-0.496954,-0.34854,0.759878,1.19396,-0.580097,40.88
2.394801,-0.270597,0.759878,1.19396,-0.580097,40.32
-0.467225,-0.6235,0.759878,1.19396,-0.580097,24.27
-0.467402,-0.691324,0.759878,1.19396,-0.580097,42.64
0.067187,-0.736723,0.759878,1.19396,-0.580097,47.6
-0.545883,-0.327372,0.759878,1.19396,-0.580097,0.35
-0.54314,1.166942,0.759878,1.19396,-0.580097,40.98
-1.057556,-0.200914,0.759878,1.19396,-0.580097,43.26
-0.452184,-0.87062,0.759878,1.19396,-0.580097,1.5
-0.45006,-0.8896,0.759878,1.19396,-0.580097,68.07
2.202713,-0.898734,0.759878,1.19396,-0.580097,74.75
-0.388744,1.671355,0.759878,1.19396,-0.580097,70.28
-0.390691,0.948264,0.759878,1.19396,-0.580097,80.53
0.731575,2.270557,0.759878,1.19396,-0.580097,85.27
-0.501466,-0.435562,0.759878,1.19396,-0.580097,21.95
-0.496954,-0.34854,0.759878,1.19396,-0.580097,72.59
2.394801,-0.270597,0.759878,1.19396,-0.580097,77.03
-0.467225,-0.6235,0.759878,1.19396,-0.580097,23.09
-0.467402,-0.691324,0.759878,1.19396,-0.580097,47.56
0.067187,-0.736723,0.759878,1.19396,-0.580097,46.76
-0.545883,-0.327372,0.759878,1.19396,-0.580097,0.61
-0.54314,1.166942,0.759878,1.19396,-0.580097,47.15
-1.057556,-0.200914,0.759878,1.19396,-0.580097,45.98
-0.45006,-0.8896,0.759878,1.19396,-0.580097,79.74
2.202713,-0.898734,0.759878,1.19396,-0.580097,80.79
-0.388744,1.671355,0.759878,1.19396,-0.580097,84.69
-0.390691,0.948264,0.759878,1.19396,-0.580097,91.06
0.731575,2.270557,0.759878,1.19396,-0.580097,98.18
-0.501466,-0.435562,0.759878,1.19396,-0.580097,23.84
-0.496954,-0.34854,0.759878,1.19396,-0.580097,86.41
2.394801,-0.270597,0.759878,1.19396,-0.580097,87.55
-0.467225,-0.6235,0.897563,0.066217,-0.58353,6.58
-0.467402,-0.691324,0.897563,0.066217,-0.58353,8.74
0.067187,-0.736723,0.897563,0.066217,-0.58353,9.94
-0.545883,-0.327372,0.897563,0.066217,-0.58353,1.71
-0.54314,1.166942,0.897563,0.066217,-0.58353,12.3
-1.057556,-0.200914,0.897563,0.066217,-0.58353,16.86
-0.452184,-0.87062,0.897563,0.066217,-0.58353,3.6
-0.45006,-0.8896,0.897563,0.066217,-0.58353,19.9
2.202713,-0.898734,0.897563,0.066217,-0.58353,25.25
-0.388744,1.671355,0.897563,0.066217,-0.58353,16.16
-0.390691,0.948264,0.897563,0.066217,-0.58353,20.64
0.731575,2.270557,0.897563,0.066217,-0.58353,24.16
-0.501466,-0.435562,0.897563,0.066217,-0.58353,7.94
-0.496954,-0.34854,0.897563,0.066217,-0.58353,13.65
2.394801,-0.270597,0.897563,0.066217,-0.58353,14.37
-0.467225,-0.6235,0.897563,0.066217,-0.58353,3.96
-0.467402,-0.691324,0.897563,0.066217,-0.58353,22.52
0.067187,-0.736723,0.897563,0.066217,-0.58353,39.75
-0.54314,1.166942,0.897563,0.066217,-0.58353,15.82
-1.057556,-0.200914,0.897563,0.066217,-0.58353,40.14
-0.452184,-0.87062,0.897563,0.066217,-0.58353,0.58
-0.45006,-0.8896,0.897563,0.066217,-0.58353,29.3
2.202713,-0.898734,0.897563,0.066217,-0.58353,73.74
-0.388744,1.671355,0.897563,0.066217,-0.58353,24.61
-0.390691,0.948264,0.897563,0.066217,-0.58353,39.09
0.731575,2.270557,0.897563,0.066217,-0.58353,65.39
-0.501466,-0.435562,0.897563,0.066217,-0.58353,2.34
-0.496954,-0.34854,0.897563,0.066217,-0.58353,48.31
2.394801,-0.270597,0.897563,0.066217,-0.58353,72.94
-0.467225,-0.6235,0.897563,0.066217,-0.58353,10
-0.467402,-0.691324,0.897563,0.066217,-0.58353,37.52
0.067187,-0.736723,0.897563,0.066217,-0.58353,52.59
-0.545883,-0.327372,0.897563,0.066217,-0.58353,0.86
-0.54314,1.166942,0.897563,0.066217,-0.58353,34.29
-1.057556,-0.200914,0.897563,0.066217,-0.58353,53.15
-0.452184,-0.87062,0.897563,0.066217,-0.58353,2.17
-0.45006,-0.8896,0.897563,0.066217,-0.58353,59.97
2.202713,-0.898734,0.897563,0.066217,-0.58353,80.98
-0.388744,1.671355,0.897563,0.066217,-0.58353,68.01
-0.390691,0.948264,0.897563,0.066217,-0.58353,84.91
0.731575,2.270557,0.897563,0.066217,-0.58353,95.07
-0.501466,-0.435562,0.897563,0.066217,-0.58353,15.22
